04/06/2023 07:22:51 AM: [ Total number of labels 3294 ]
04/06/2023 07:22:51 AM: [ Total number of relations 673 ]
04/06/2023 07:22:53 AM: [ loading questions from /home/jaleed/Jaleed/Graphhopper/Graph-Hopper/codes/preprocessing/scenegraphs/val.txt ]
04/06/2023 07:22:55 AM: [ total number of questions: 46533 for val ]
04/06/2023 07:22:55 AM: [ Total number of graphs in index 10298 ]
04/06/2023 07:22:55 AM: [ Total number of graphs found in folder 10298 ]
04/06/2023 07:23:14 AM: [ total graphs 10298 ]
04/06/2023 07:23:14 AM: [ loading questions from /home/jaleed/Jaleed/Graphhopper/Graph-Hopper/codes/preprocessing/scenegraphs/val.txt ]
04/06/2023 07:23:16 AM: [ total number of questions: 46533 for val ]
04/06/2023 07:23:16 AM: [ Total number of graphs in index 10298 ]
04/06/2023 07:23:16 AM: [ Total number of graphs found in folder 10298 ]
04/06/2023 07:23:35 AM: [ total graphs 10298 ]
04/06/2023 07:23:35 AM: [ loading questions from /home/jaleed/Jaleed/Graphhopper/Graph-Hopper/codes/preprocessing/scenegraphs/test.txt ]
04/06/2023 07:23:35 AM: [ total number of questions: 11 for test ]
04/06/2023 07:23:35 AM: [ Total number of graphs in index 2 ]
04/06/2023 07:23:35 AM: [ Total number of graphs found in folder 2 ]
04/06/2023 07:23:35 AM: [ total graphs 2 ]
04/06/2023 07:25:19 AM: [ model saved at /home/jaleed/Jaleed/Graphhopper/Graph-Hopper/output/run/f320_8_0.2_20_0.95/model//model.pth ]
04/06/2023 07:25:19 AM: [ Hits@1:  0.5045 ]
04/06/2023 07:25:19 AM: [ Hits@3:  0.9985 ]
04/06/2023 07:25:19 AM: [ Hits@5:  0.9985 ]
04/06/2023 07:25:19 AM: [ Hits@10:  0.9985 ]
04/06/2023 07:25:19 AM: [ Hits@20:  0.9985 ]
04/06/2023 07:25:19 AM: [ auc:  0.7515 ]
04/06/2023 07:27:00 AM: [ Hits@1:  0.5025 ]
04/06/2023 07:27:00 AM: [ Hits@3:  0.9999 ]
04/06/2023 07:27:00 AM: [ Hits@5:  0.9999 ]
04/06/2023 07:27:00 AM: [ Hits@10:  0.9999 ]
04/06/2023 07:27:00 AM: [ Hits@20:  0.9999 ]
04/06/2023 07:27:00 AM: [ auc:  0.7512 ]
04/06/2023 07:28:40 AM: [ Hits@1:  0.5002 ]
04/06/2023 07:28:40 AM: [ Hits@3:  1.0000 ]
04/06/2023 07:28:40 AM: [ Hits@5:  1.0000 ]
04/06/2023 07:28:40 AM: [ Hits@10:  1.0000 ]
04/06/2023 07:28:40 AM: [ Hits@20:  1.0000 ]
04/06/2023 07:28:40 AM: [ auc:  0.7501 ]
04/06/2023 07:30:23 AM: [ Hits@1:  0.5042 ]
04/06/2023 07:30:23 AM: [ Hits@3:  1.0000 ]
04/06/2023 07:30:23 AM: [ Hits@5:  1.0000 ]
04/06/2023 07:30:23 AM: [ Hits@10:  1.0000 ]
04/06/2023 07:30:23 AM: [ Hits@20:  1.0000 ]
04/06/2023 07:30:23 AM: [ auc:  0.7521 ]
04/06/2023 07:32:05 AM: [ Hits@1:  0.4999 ]
